"target","location","forecast_date","target_end_date","quantile","value","type"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.3,9,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.3,9,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.3,9,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.3,9,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.3,9,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.3,9,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.3,9,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.3,9,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.3,9,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.3,9,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.3,9,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.3,9,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.3,9,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.3,9,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.3,8,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.3,9,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.3,8,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.3,9,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.3,8,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.3,9,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.3,9,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.3,9,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.3,9,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.3,8,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.35,9,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.35,9,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.35,9,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.35,9,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.35,9,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.35,9,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.35,9,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.35,9,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.35,9,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.35,9,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.35,9,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.35,9,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.35,9,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.35,9,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.35,9,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.35,9,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.35,9,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.35,9,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.35,9,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.35,9,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.35,9,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.35,9,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.35,9,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.35,9,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.35,9,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.35,9,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.35,9,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.35,9,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.35,9,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.35,9,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.4,9,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.4,9,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.4,9,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.4,9,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.4,10,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.4,10,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.4,10,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.4,10,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.4,10,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.4,10,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.4,10,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.4,10,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.4,10,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.4,10,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.4,10,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.4,10,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.4,10,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.4,10,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.4,10,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.4,10,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.4,10,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.4,10,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.4,10,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.4,10,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.4,10,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.4,10,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.4,10,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.4,10,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.4,10,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.4,10,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.45,10,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.45,10,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.45,10,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.45,10,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.45,10,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.45,10,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.45,10,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.45,10,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.45,11,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.45,11,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.45,10,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.45,10,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.45,11,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.45,11,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.45,10.5500000000001,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.45,11,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.45,11,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.45,10,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.45,11,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.45,11,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.45,10,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.45,11,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.45,10,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.45,11,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.45,11,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.45,11,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.45,11,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.45,11,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.45,11,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.45,11,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.5,10,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.5,10,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.5,11,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.5,11,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.5,11,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.5,11,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.5,11,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.5,11,"quantile"
